item,condition,Sentence_String,Is_Filler,Expected_Verb,Base_ID,Subject_Number,Local_Number,Local_Noun_Slot,Interference_Type,Subject_Liaison_Cue,Delayed_Repetition,Delay_ms,Go_Beep,Audio_Normalization_Note
T008,Filler_SVO,Le pilote cherche la lampe.,True,cherche,FILLER,singular,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T013,Filler_SVO,Le médecin suit le roman.,True,suit,FILLER,singular,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T014,Filler_Neg,Le médecin ne suit pas les photos.,True,suit,FILLER,singular,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T015,Filler_Neg,Les journalistes ne aiment pas les radios.,True,aiment,FILLER,plural,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T017,Filler_Neg,Le pilote ne porte pas les romans.,True,porte,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T021,Filler_Neg,Les chercheuses ne cherchent pas les photos.,True,cherchent,FILLER,plural,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T023,Filler_Neg,Les pilotes ne trouvent pas les romans.,True,trouvent,FILLER,plural,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T026,Filler_SVO,Les pilotes aiment le roman.,True,aiment,FILLER,plural,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T027,Filler_Neg,Les chercheuses ne aiment pas les lampes.,True,aiment,FILLER,plural,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T029,Filler_Neg,La musicienne ne cherche pas les lampes.,True,cherche,FILLER,singular,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T030,Filler_Neg,La journaliste ne cherche pas les lampes.,True,cherche,FILLER,singular,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T031,Filler_SVO,La journaliste porte la radio.,True,porte,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T033,Filler_Neg,Les pilotes ne portent pas les romans.,True,portent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T034,Filler_SVO,Le pilote suit le roman.,True,suit,FILLER,singular,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T037,Filler_Neg,Les médecins ne aiment pas les radios.,True,aiment,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T038,Filler_SVO,Les journalistes trouvent la lampe.,True,trouvent,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T039,Filler_Neg,Les pilotes ne aiment pas les messages.,True,aiment,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T040,Filler_Neg,Le pilote ne suit pas les radios.,True,suit,FILLER,singular,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T041,Filler_Neg,Les voisins ne cherchent pas les photos.,True,cherchent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T046,Filler_Neg,Les chercheuses ne portent pas les dossiers.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T047,Filler_SVO,Le voisin suit la lampe.,True,suit,FILLER,singular,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T051,Filler_SVO,Les musiciennes regardent le roman.,True,regardent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T052,Filler_Neg,Les journalistes ne aiment pas les dossiers.,True,aiment,FILLER,plural,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T053,Filler_SVO,Le voisin regarde la radio.,True,regarde,FILLER,singular,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T056,Filler_SVO,La musicienne regarde la radio.,True,regarde,FILLER,singular,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T058,Filler_Neg,Les musiciennes ne cherchent pas les lampes.,True,cherchent,FILLER,plural,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T060,Filler_Neg,Les pilotes ne suivent pas les dossiers.,True,suivent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T061,Filler_Neg,Le pilote ne suit pas les dossiers.,True,suit,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T062,Filler_Neg,Le voisin ne trouve pas les photos.,True,trouve,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T063,Filler_Neg,Les voisins ne portent pas les photos.,True,portent,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T064,Filler_Neg,Le médecin ne porte pas les photos.,True,porte,FILLER,singular,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T066,Filler_SVO,Le pilote porte la lampe.,True,porte,FILLER,singular,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T067,Filler_Neg,Les chercheuses ne regardent pas les dossiers.,True,regardent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T070,Filler_SVO,Les musiciennes aiment la radio.,True,aiment,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T073,Filler_Neg,Les pilotes ne suivent pas les photos.,True,suivent,FILLER,plural,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T075,Filler_Neg,Les musiciennes ne trouvent pas les photos.,True,trouvent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T078,Filler_SVO,Les chercheuses regardent le dossier.,True,regardent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T081,Filler_Neg,Les pilotes ne cherchent pas les dossiers.,True,cherchent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T082,Filler_SVO,Les journalistes suivent le roman.,True,suivent,FILLER,plural,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T083,Filler_SVO,Les pilotes cherchent la photo.,True,cherchent,FILLER,plural,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T086,Filler_SVO,Le voisin porte la photo.,True,porte,FILLER,singular,NA,NA,NA,NA,True,1750,True,Use fillers to prevent structural habituation.
T087,Filler_SVO,Les musiciennes suivent le roman.,True,suivent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T089,Filler_Neg,Le pilote ne trouve pas les radios.,True,trouve,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T092,Filler_Neg,Les médecins ne suivent pas les radios.,True,suivent,FILLER,plural,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T093,Filler_SVO,Le pilote suit la photo.,True,suit,FILLER,singular,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T094,Filler_Neg,Le pilote ne aime pas les messages.,True,aime,FILLER,singular,NA,NA,NA,NA,True,1500,True,Use fillers to prevent structural habituation.
T095,Filler_Neg,Les voisins ne trouvent pas les lampes.,True,trouvent,FILLER,plural,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
T096,Filler_SVO,La journaliste porte le dossier.,True,porte,FILLER,singular,NA,NA,NA,NA,True,1000,True,Use fillers to prevent structural habituation.
T097,Filler_Neg,Les voisins ne regardent pas les messages.,True,regardent,FILLER,plural,NA,NA,NA,NA,True,2000,True,Use fillers to prevent structural habituation.
T100,Filler_SVO,Le voisin cherche le dossier.,True,cherche,FILLER,singular,NA,NA,NA,NA,True,1250,True,Use fillers to prevent structural habituation.
